marital,postlife,age,happy,income
married,,53.0,pretty happy,
married,,29.0,pretty happy,
married,,55.0,pretty happy,
married,,29.0,very happy,
married,,51.0,pretty happy,
married,,45.0,not too happy,
married,,50.0,not too happy,
married,,50.0,pretty happy,
married,,33.0,pretty happy,
married,,29.0,very happy,
never married,,23.0,pretty happy,
widowed,,67.0,pretty happy,
married,,26.0,very happy,
married,,36.0,pretty happy,
married,,30.0,pretty happy,
married,,48.0,pretty happy,
married,,46.0,pretty happy,
married,,59.0,pretty happy,
married,,61.0,pretty happy,
married,,,very happy,
married,,23.0,very happy,
married,,21.0,not too happy,
married,,32.0,not too happy,
widowed,,68.0,very happy,
never married,,21.0,pretty happy,
married,,25.0,pretty happy,
married,,49.0,not too happy,
married,,23.0,pretty happy,
separated,,22.0,pretty happy,
married,,24.0,pretty happy,
never married,,78.0,pretty happy,
married,,60.0,not too happy,
married,,83.0,pretty happy,
married,,43.0,very happy,
separated,,58.0,pretty happy,
married,,27.0,very happy,
married,,30.0,very happy,
married,,44.0,pretty happy,
never married,,28.0,not too happy,
married,,58.0,pretty happy,
married,,61.0,very happy,
married,,36.0,pretty happy,
married,,63.0,pretty happy,
married,,38.0,pretty happy,
married,,55.0,not too happy,
married,,41.0,pretty happy,
married,,74.0,very happy,
married,,34.0,pretty happy,
divorced,,43.0,pretty happy,
married,,54.0,pretty happy,
never married,,25.0,not too happy,
never married,,20.0,pretty happy,
married,,70.0,pretty happy,
married,,52.0,very happy,
married,,68.0,very happy,
married,,24.0,pretty happy,
married,,51.0,pretty happy,
married,,43.0,very happy,
married,,50.0,not too happy,
married,,30.0,very happy,
married,,59.0,not too happy,
widowed,,87.0,very happy,
married,,26.0,very happy,
never married,,52.0,very happy,
married,,27.0,pretty happy,
married,,47.0,very happy,
divorced,,37.0,pretty happy,
married,,50.0,pretty happy,
married,,44.0,very happy,
widowed,,77.0,very happy,
widowed,,74.0,not too happy,
married,,30.0,pretty happy,
married,,35.0,very happy,
married,,76.0,very happy,
married,,35.0,very happy,
divorced,,58.0,pretty happy,
married,,31.0,very happy,
married,,51.0,pretty happy,
married,,53.0,very happy,
married,,51.0,not too happy,
married,,46.0,very happy,
never married,,18.0,pretty happy,
married,,69.0,very happy,
married,,59.0,very happy,
married,,52.0,pretty happy,
married,,40.0,pretty happy,
married,,66.0,not too happy,
married,,46.0,pretty happy,
never married,,57.0,pretty happy,
married,,30.0,pretty happy,
never married,,19.0,pretty happy,
married,,42.0,pretty happy,
married,,29.0,not too happy,
married,,29.0,pretty happy,
married,,23.0,pretty happy,
separated,,66.0,not too happy,
married,,43.0,not too happy,
married,,45.0,very happy,
married,,68.0,not too happy,
married,,40.0,not too happy,
married,,54.0,pretty happy,
married,,26.0,pretty happy,
married,,66.0,pretty happy,
married,,55.0,pretty happy,
widowed,,72.0,not too happy,
never married,,65.0,pretty happy,
never married,,23.0,very happy,
divorced,,57.0,very happy,
married,,34.0,pretty happy,
widowed,,64.0,very happy,
married,,42.0,not too happy,
married,,25.0,not too happy,
married,,25.0,pretty happy,
married,,74.0,not too happy,
separated,,37.0,pretty happy,
married,,43.0,pretty happy,
married,,67.0,pretty happy,
married,,57.0,very happy,
never married,,65.0,pretty happy,
married,,33.0,pretty happy,
married,,66.0,pretty happy,
married,,35.0,pretty happy,
never married,,20.0,pretty happy,
never married,,22.0,pretty happy,
never married,,20.0,not too happy,
married,,22.0,not too happy,
married,,48.0,not too happy,
married,,35.0,very happy,
married,,45.0,very happy,
married,,34.0,pretty happy,
married,,37.0,pretty happy,
divorced,,47.0,pretty happy,
married,,59.0,very happy,
married,,23.0,very happy,
married,,29.0,pretty happy,
married,,45.0,pretty happy,
married,,58.0,pretty happy,
married,,23.0,pretty happy,
married,,36.0,not too happy,
married,,36.0,pretty happy,
married,,76.0,pretty happy,
married,,42.0,pretty happy,
divorced,,34.0,pretty happy,
married,,30.0,very happy,
married,,30.0,very happy,
married,,45.0,very happy,
never married,,26.0,very happy,
married,,72.0,pretty happy,
married,,30.0,pretty happy,
married,,57.0,not too happy,
married,,47.0,very happy,
never married,,70.0,pretty happy,
married,,20.0,not too happy,
widowed,,77.0,very happy,
widowed,,73.0,not too happy,
married,,65.0,very happy,
married,,55.0,very happy,
married,,64.0,pretty happy,
married,,33.0,pretty happy,
never married,,19.0,not too happy,
widowed,,89.0,pretty happy,
married,,53.0,pretty happy,
married,,49.0,not too happy,
widowed,,57.0,pretty happy,
married,,70.0,pretty happy,
married,,49.0,pretty happy,
married,,76.0,pretty happy,
married,,51.0,pretty happy,
divorced,,60.0,pretty happy,
married,,54.0,very happy,
widowed,,71.0,pretty happy,
separated,,38.0,not too happy,
married,,63.0,not too happy,
married,,78.0,pretty happy,
never married,,26.0,pretty happy,
married,,66.0,pretty happy,
married,,65.0,very happy,
never married,,25.0,pretty happy,
married,,34.0,pretty happy,
widowed,,65.0,not too happy,
widowed,,81.0,pretty happy,
widowed,,79.0,pretty happy,
married,,80.0,very happy,
married,,62.0,not too happy,
married,,25.0,very happy,
married,,75.0,not too happy,
married,,25.0,pretty happy,
married,,46.0,very happy,
married,,20.0,very happy,
married,,33.0,very happy,
married,,50.0,pretty happy,
married,,62.0,very happy,
never married,,28.0,pretty happy,
married,,43.0,pretty happy,
separated,,31.0,not too happy,
widowed,,63.0,not too happy,
never married,,20.0,pretty happy,
never married,,29.0,pretty happy,
married,,24.0,pretty happy,
married,,36.0,pretty happy,
married,,48.0,pretty happy,
married,,48.0,very happy,
married,,47.0,very happy,
widowed,,53.0,very happy,
married,,32.0,very happy,
widowed,,68.0,pretty happy,
married,,38.0,very happy,
never married,,29.0,pretty happy,
married,,40.0,pretty happy,
widowed,,89.0,pretty happy,
widowed,,72.0,pretty happy,
married,,45.0,pretty happy,
married,,60.0,pretty happy,
never married,,24.0,pretty happy,
married,,31.0,pretty happy,
married,,24.0,pretty happy,
married,,51.0,pretty happy,
married,,48.0,not too happy,
married,,44.0,not too happy,
married,,35.0,pretty happy,
married,,33.0,very happy,
married,,42.0,not too happy,
married,,29.0,very happy,
married,,52.0,very happy,
married,,36.0,pretty happy,
married,,27.0,pretty happy,
married,,48.0,very happy,
married,,60.0,pretty happy,
widowed,,68.0,very happy,
married,,45.0,very happy,
married,,23.0,pretty happy,
married,,27.0,pretty happy,
never married,,25.0,pretty happy,
never married,,20.0,very happy,
never married,,22.0,pretty happy,
married,,72.0,pretty happy,
widowed,,38.0,pretty happy,
married,,26.0,pretty happy,
widowed,,66.0,very happy,
married,,34.0,pretty happy,
married,,30.0,pretty happy,
separated,,53.0,not too happy,
married,,37.0,pretty happy,
widowed,,68.0,very happy,
married,,47.0,very happy,
never married,,23.0,pretty happy,
married,,55.0,pretty happy,
married,,20.0,pretty happy,
married,,37.0,pretty happy,
married,,40.0,pretty happy,
married,,65.0,pretty happy,
married,,28.0,very happy,
married,,46.0,pretty happy,
married,,60.0,very happy,
never married,,19.0,pretty happy,
married,,32.0,not too happy,
married,,62.0,very happy,
married,,63.0,very happy,
widowed,,64.0,very happy,
married,,46.0,pretty happy,
married,,57.0,very happy,
never married,,47.0,not too happy,
married,,64.0,very happy,
married,,48.0,very happy,
married,,61.0,not too happy,
widowed,,60.0,pretty happy,
married,,29.0,not too happy,
married,,30.0,very happy,
married,,52.0,pretty happy,
married,,45.0,very happy,
married,,78.0,very happy,
married,,36.0,not too happy,
widowed,,82.0,pretty happy,
married,,41.0,pretty happy,
married,,39.0,pretty happy,
married,,26.0,not too happy,
married,,64.0,not too happy,
married,,47.0,pretty happy,
never married,,21.0,pretty happy,
never married,,20.0,very happy,
married,,59.0,very happy,
married,,25.0,pretty happy,
divorced,,49.0,very happy,
married,,26.0,pretty happy,
married,,30.0,pretty happy,
married,,27.0,pretty happy,
married,,33.0,very happy,
never married,,26.0,pretty happy,
married,,59.0,pretty happy,
widowed,,80.0,very happy,
never married,,22.0,pretty happy,
divorced,,49.0,not too happy,
widowed,,48.0,very happy,
divorced,,34.0,not too happy,
divorced,,38.0,not too happy,
married,,30.0,very happy,
married,,54.0,pretty happy,
married,,75.0,very happy,
married,,56.0,very happy,
never married,,19.0,not too happy,
married,,44.0,pretty happy,
married,,53.0,pretty happy,
married,,35.0,pretty happy,
never married,,46.0,pretty happy,
never married,,20.0,pretty happy,
widowed,,50.0,not too happy,
married,,51.0,very happy,
married,,52.0,not too happy,
married,,72.0,pretty happy,
widowed,,60.0,pretty happy,
never married,,22.0,not too happy,
married,,39.0,not too happy,
married,,57.0,pretty happy,
married,,54.0,pretty happy,
married,,49.0,,
married,,62.0,pretty happy,
married,,51.0,pretty happy,
widowed,,73.0,not too happy,
married,,27.0,pretty happy,
married,,68.0,very happy,
married,,44.0,pretty happy,
married,,67.0,not too happy,
married,,78.0,not too happy,
married,,60.0,pretty happy,
married,,48.0,pretty happy,
married,,78.0,pretty happy,
married,,47.0,very happy,
never married,,24.0,pretty happy,
married,,75.0,pretty happy,
married,,78.0,very happy,
married,,24.0,pretty happy,
married,,56.0,pretty happy,
never married,,19.0,not too happy,
married,,29.0,pretty happy,
separated,,32.0,pretty happy,
never married,,21.0,very happy,
separated,,27.0,not too happy,
never married,,19.0,not too happy,
married,,56.0,not too happy,
married,,62.0,pretty happy,
married,,47.0,not too happy,
married,,43.0,very happy,
married,,39.0,pretty happy,
married,,42.0,pretty happy,
married,,44.0,pretty happy,
never married,,22.0,not too happy,
married,,34.0,pretty happy,
married,,57.0,pretty happy,
married,,58.0,pretty happy,
widowed,,80.0,pretty happy,
widowed,,73.0,very happy,
married,,61.0,very happy,
married,,48.0,very happy,
married,,60.0,pretty happy,
married,,30.0,very happy,
married,,49.0,not too happy,
married,,65.0,not too happy,
married,,56.0,very happy,
married,,40.0,pretty happy,
never married,,22.0,pretty happy,
never married,,23.0,,
never married,,21.0,pretty happy,
never married,,22.0,not too happy,
never married,,24.0,very happy,
widowed,,51.0,pretty happy,
never married,,21.0,pretty happy,
never married,,22.0,pretty happy,
married,,44.0,pretty happy,
married,,32.0,not too happy,
married,,42.0,pretty happy,
married,,34.0,very happy,
married,,48.0,pretty happy,
married,,48.0,very happy,
married,,68.0,very happy,
married,,31.0,very happy,
married,,29.0,pretty happy,
married,,26.0,pretty happy,
married,,25.0,very happy,
married,,35.0,pretty happy,
divorced,,33.0,very happy,
widowed,,64.0,pretty happy,
never married,,25.0,very happy,
married,,59.0,pretty happy,
married,,50.0,pretty happy,
married,,29.0,pretty happy,
married,,60.0,pretty happy,
married,,54.0,pretty happy,
married,,35.0,pretty happy,
married,,44.0,very happy,
married,,65.0,pretty happy,
married,,55.0,pretty happy,
married,,26.0,pretty happy,
married,,66.0,not too happy,
married,,56.0,pretty happy,
married,,49.0,pretty happy,
married,,28.0,very happy,
married,,26.0,pretty happy,
married,,46.0,pretty happy,
widowed,,65.0,very happy,
married,,37.0,very happy,
married,,56.0,pretty happy,
widowed,,64.0,pretty happy,
divorced,,47.0,very happy,
never married,,21.0,pretty happy,
married,,43.0,pretty happy,
married,,48.0,very happy,
married,,68.0,not too happy,
married,,45.0,pretty happy,
married,,,pretty happy,
separated,,22.0,not too happy,
widowed,,77.0,pretty happy,
married,,69.0,very happy,
widowed,,65.0,pretty happy,
married,,59.0,very happy,
married,,65.0,pretty happy,
married,,42.0,not too happy,
married,,45.0,not too happy,
never married,,26.0,not too happy,
married,,32.0,very happy,
married,,28.0,very happy,
married,,37.0,very happy,
married,,46.0,not too happy,
never married,,72.0,pretty happy,
married,,26.0,pretty happy,
married,,24.0,not too happy,
married,,50.0,not too happy,
widowed,,68.0,pretty happy,
widowed,,72.0,pretty happy,
married,,47.0,pretty happy,
married,,45.0,pretty happy,
married,,23.0,pretty happy,
married,,39.0,pretty happy,
never married,,46.0,very happy,
married,,45.0,very happy,
married,,63.0,not too happy,
married,,30.0,very happy,
married,,61.0,not too happy,
never married,,19.0,pretty happy,
married,,50.0,pretty happy,
married,,46.0,pretty happy,
married,,54.0,pretty happy,
married,,35.0,not too happy,
married,,51.0,pretty happy,
married,,29.0,very happy,
never married,,38.0,not too happy,
married,,41.0,pretty happy,
widowed,,74.0,,
married,,56.0,pretty happy,
married,,50.0,very happy,
separated,,34.0,pretty happy,
married,,61.0,very happy,
never married,,21.0,pretty happy,
married,,30.0,very happy,
married,,61.0,not too happy,
never married,,19.0,very happy,
married,,60.0,very happy,
married,,46.0,pretty happy,
married,,63.0,pretty happy,
married,,41.0,pretty happy,
married,,37.0,pretty happy,
married,,35.0,pretty happy,
married,,54.0,pretty happy,
married,,51.0,pretty happy,
married,,27.0,very happy,
married,,59.0,very happy,
married,,52.0,not too happy,
married,,48.0,very happy,
married,,51.0,very happy,
married,,31.0,very happy,
never married,,20.0,not too happy,
married,,31.0,not too happy,
married,,32.0,very happy,
married,,49.0,not too happy,
married,,67.0,pretty happy,
married,,50.0,pretty happy,
married,,48.0,pretty happy,
married,,42.0,pretty happy,
married,,45.0,very happy,
married,,27.0,pretty happy,
widowed,,56.0,pretty happy,
divorced,,61.0,not too happy,
married,,42.0,very happy,
married,,65.0,pretty happy,
never married,,52.0,very happy,
married,,51.0,not too happy,
never married,,68.0,pretty happy,
married,,62.0,not too happy,
widowed,,42.0,not too happy,
widowed,,87.0,not too happy,
married,,25.0,not too happy,
married,,58.0,not too happy,
never married,,21.0,pretty happy,
married,,34.0,pretty happy,
married,,31.0,very happy,
married,,24.0,not too happy,
widowed,,27.0,not too happy,
never married,,20.0,pretty happy,
married,,38.0,not too happy,
married,,30.0,pretty happy,
married,,50.0,pretty happy,
married,,36.0,pretty happy,
married,,45.0,pretty happy,
never married,,35.0,not too happy,
married,,50.0,pretty happy,
never married,,34.0,very happy,
divorced,,36.0,pretty happy,
married,,47.0,pretty happy,
never married,,27.0,pretty happy,
married,,54.0,not too happy,
widowed,,25.0,pretty happy,
widowed,,64.0,pretty happy,
married,,63.0,very happy,
divorced,,41.0,pretty happy,
never married,,20.0,pretty happy,
married,,49.0,very happy,
married,,59.0,very happy,
never married,,29.0,pretty happy,
married,,29.0,very happy,
married,,39.0,not too happy,
married,,62.0,pretty happy,
married,,21.0,very happy,
married,,32.0,pretty happy,
married,,33.0,very happy,
married,,59.0,very happy,
married,,25.0,pretty happy,
married,,27.0,pretty happy,
never married,,30.0,pretty happy,
married,,28.0,very happy,
never married,,18.0,pretty happy,
married,,56.0,pretty happy,
never married,,22.0,very happy,
never married,,34.0,pretty happy,
married,,50.0,pretty happy,
married,,43.0,not too happy,
separated,,,very happy,
married,,24.0,not too happy,
married,,29.0,pretty happy,
married,,29.0,pretty happy,
married,,39.0,pretty happy,
married,,46.0,very happy,
married,,41.0,very happy,
married,,57.0,very happy,
married,,34.0,pretty happy,
married,,44.0,very happy,
married,,48.0,not too happy,
married,,21.0,very happy,
married,,27.0,very happy,
married,,37.0,not too happy,
married,,20.0,pretty happy,
married,,21.0,very happy,
married,,38.0,very happy,
separated,,42.0,not too happy,
married,,30.0,pretty happy,
married,,39.0,very happy,
married,,51.0,pretty happy,
divorced,,68.0,not too happy,
married,,24.0,pretty happy,
never married,,25.0,not too happy,
married,,24.0,pretty happy,
never married,,18.0,not too happy,
married,,44.0,not too happy,
married,,55.0,very happy,
married,,57.0,very happy,
married,,29.0,pretty happy,
widowed,,76.0,very happy,
married,,49.0,very happy,
married,,85.0,very happy,
